Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length
P33183	NIGB_SAMNI	reviewed	Nigrin b (Agglutinin V) (SNAV) [Cleaved into: Nigrin b A chain (EC 3.2.2.22) (rRNA N-glycosidase); Nigrin b B chain]		Sambucus nigra (European elder)	563
P33186	RIPG_SURMU	reviewed	Ribosome-inactivating protein gelonin (EC 3.2.2.22) (rRNA N-glycosidase) (allergen Gel m RIP)	GEL	Suregada multiflora (False lime) (Gelonium multiflorum)	316
P35475	IDUA_HUMAN	reviewed	Alpha-L-iduronidase (EC 3.2.1.76)	IDUA	Homo sapiens (Human)	653
P36906	XYNB_THESA	reviewed	Beta-xylosidase (EC 3.2.1.37) (1,4-beta-D-xylan xylohydrolase) (Xylan 1,4-beta-xylosidase)	xynB	Thermoanaerobacterium saccharolyticum	500
P36911	EBA1_ELIME	reviewed	Endo-beta-N-acetylglucosaminidase F1 (EC 3.2.1.96) (Di-N-acetylchitobiosyl beta-N-acetylglucosaminidase F1) (Endoglycosidase F1) (Mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidase F1)	endOF1	Elizabethkingia meningoseptica (Chryseobacterium meningosepticum)	339
P36913	EBA3_ELIME	reviewed	Endo-beta-N-acetylglucosaminidase F3 (EC 3.2.1.96) (Di-N-acetylchitobiosyl beta-N-acetylglucosaminidase F3) (Endoglycosidase F3) (Mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidase F3)	endOF3	Elizabethkingia meningoseptica (Chryseobacterium meningosepticum)	329
P36924	AMYB_BACCE	reviewed	Beta-amylase (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase)	spoII	Bacillus cereus	546
P37710	ALYS_ENTFA	reviewed	Autolysin (EC 3.2.1.-) (Beta-glycosidase) (Peptidoglycan hydrolase)	EF_0799	Enterococcus faecalis (strain ATCC 700802 / V583)	737
P38218	POA1_YEAST	reviewed	ADP-ribose 1''-phosphate phosphatase (EC 3.1.3.84) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase)	POA1 YBR022W YBR0304	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	177
P42293	EABN2_BACSU	reviewed	Extracellular endo-alpha-(1->5)-L-arabinanase 2 (ABN) (EC 3.2.1.99) (Endo-1,5-alpha-L-arabinanase)	abn2 J3A yxiA BSU39330	Bacillus subtilis (strain 168)	469
P42592	YGJK_ECOLI	reviewed	Glucosidase YgjK (EC 3.2.1.-)	ygjK b3080 JW3051	Escherichia coli (strain K12)	783
P43316	GUN5_HUMIN	reviewed	Endoglucanase-5 (EC 3.2.1.4) (Cellulase V) (Endo-1,4-beta-glucanase V) (EG V) (Endoglucanase V)		Humicola insolens (Soft-rot fungus)	213
P43478	CGKA_PSEVC	reviewed	Kappa-carrageenase (EC 3.2.1.83)	cgkA	Pseudoalteromonas carrageenovora (Alteromonas carrageenovora)	397
P45700	MA1A1_MOUSE	reviewed	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA (EC 3.2.1.113) (Man(9)-alpha-mannosidase) (Man9-mannosidase) (Mannosidase alpha class 1A member 1) (Processing alpha-1,2-mannosidase IA) (Alpha-1,2-mannosidase IA)	Man1a1 Man1a	Mus musculus (Mouse)	655
P48636	LOGH_PSEAE	reviewed	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1) (AMP nucleosidase) (EC 3.2.2.4) (PaLOG)	PA4923	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	195
P48827	CHI42_TRIHA	reviewed	Endochitinase 42 (EC 3.2.1.14) (42 kDa endochitinase) (Chitinase 42)	chit42	Trichoderma harzianum (Hypocrea lixii)	423
P48845	DEXT_TALMI	reviewed	Dextranase (EC 3.2.1.11) (Alpha-1,6-glucan-6-glucanohydrolase)	DEX	Talaromyces minioluteus (Filamentous fungus) (Penicillium minioluteum)	608
P49370	HUGAA_VESVU	reviewed	Hyaluronidase A (Hya A) (EC 3.2.1.35) (Allergen Ves v II) (Hyaluronoglucosaminidase A) (allergen Ves v 2a)		Vespula vulgaris (Yellow jacket) (Wasp)	331
P50401	GUXA_CELFA	reviewed	Exoglucanase A (EC 3.2.1.91) (1,4-beta-cellobiohydrolase A) (CBP95) (Exocellobiohydrolase A)	cbhA Celf_1925	Cellulomonas fimi (strain ATCC 484 / DSM 20113 / JCM 1341 / NBRC 15513 / NCIMB 8980 / NCTC 7547)	872
P50694	TLP_PRUAV	reviewed	Glucan endo-1,3-beta-glucosidase (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase) ((1->3)-beta-glucanase) (Allergen Pru a 2) (Beta-1,3-endoglucanase) (Thaumatin-like protein) (TLP) (allergen Pru av 2)		Prunus avium (Cherry) (Cerasus avium)	245
P54802	ANAG_HUMAN	reviewed	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form]	NAGLU UFHSD1	Homo sapiens (Human)	743
P54818	GALC_MOUSE	reviewed	Galactocerebrosidase (GALCERase) (EC 3.2.1.46) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase)	Galc	Mus musculus (Mouse)	684
P56568	RIP1_LUFAE	reviewed	Ribosome-inactivating protein luffin P1 (EC 3.2.2.22) (Arginine/glutamate-rich polypeptide) (AGRP) [Cleaved into: Luffin P1a; Luffin P1b; Luffin P1c]		Luffa aegyptiaca (Sponge gourd) (Luffa cylindrica)	47
P56634	AMY_TENMO	reviewed	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)		Tenebrio molitor (Yellow mealworm beetle)	471
P59205	LYTB_STRPN	reviewed	Putative endo-beta-N-acetylglucosaminidase (EC 3.2.1.96) (Murein hydrolase)	lytB SP_0965	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	658
P59823	IRPL1_MOUSE	reviewed	Interleukin-1 receptor accessory protein-like 1 (IL-1-RAPL-1) (IL-1RAPL-1) (IL1RAPL-1) (EC 3.2.2.6) (X-linked interleukin-1 receptor accessory protein-like 1)	Il1rapl1	Mus musculus (Mouse)	695
P62575	NANA_STREE	reviewed	Sialidase A (EC 3.2.1.18) (Neuraminidase A)	nanA	Streptococcus pneumoniae	1035
P67344	ADPRH_STAAN	reviewed	Protein-ADP-ribose hydrolase (SpyMacroD) (EC 3.2.1.-)	SA0314	Staphylococcus aureus (strain N315)	266
P77847	P77847_CALSA	unreviewed	Beta-1,4-mannanase (EC 3.2.1.78)	manA	Caldicellulosiruptor saccharolyticus (Caldocellum saccharolyticum)	911
P78549	NTH_HUMAN	reviewed	Endonuclease III-like protein 1 (hNTH1) (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	NTHL1 NTH1 OCTS3	Homo sapiens (Human)	312
P82186	GUN_MYTED	reviewed	Endoglucanase (EC 3.2.1.4) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)		Mytilus edulis (Blue mussel)	181
P83692	GANA_THETO	reviewed	Arabinogalactan endo-beta-1,4-galactanase (EC 3.2.1.89) (Endo-1,4-beta-galactanase) (Galactanase)		Thermothelomyces thermophilus (Myceliophthora thermophila)	332
P84786	RIP_DRIMA	reviewed	Ribosome-inactivating protein charybdin (EC 3.2.2.22) (rRNA N-glycosidase)		Drimia maritima (Sea squill) (Charybdis maritima)	257
P85101	RIPLY_SILCH	reviewed	Ribosome-inactivating protein lychnin (EC 3.2.2.22)		Silene chalcedonica (Maltese-cross) (Lychnis chalcedonica)	234
P86383	LYS_MERLU	reviewed	Lysozyme (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase) (Invertebrate-type lysozyme)		Meretrix lusoria (Hard clam) (Common Orient clam)	122
P94622	P94622_CLOCL	unreviewed	Endo-1,4-beta glucanase EngF (EC 3.2.1.4)	engF	Clostridium cellulovorans	557
P96311	P96311_CALBS	unreviewed	Endoglucanase (EC 3.2.1.4)	celA	Caldicellulosiruptor bescii (Anaerocellum thermophilum)	1711
P96658	YDEA_BACSU	reviewed	Uncharacterized protease YdeA (EC 3.2.-.-)	ydeA BSU05110	Bacillus subtilis (strain 168)	197
Q00001	RHGA_ASPAC	reviewed	Rhamnogalacturonase A (RGase A) (RHG A) (EC 3.2.1.171) (Rhamnogalacturonan hydrolase A)	rhgA	Aspergillus aculeatus	440
Q01638	ILRL1_HUMAN	reviewed	Interleukin-1 receptor-like 1 (EC 3.2.2.6) (Protein ST2)	IL1RL1 DER4 ST2 T1	Homo sapiens (Human)	556
Q01786	GUN5_THEFU	reviewed	Endoglucanase E-5 (EC 3.2.1.4) (Cellulase E-5) (Cellulase E5) (Endo-1,4-beta-glucanase E-4)	celE	Thermobifida fusca (Thermomonospora fusca)	466
Q02834	NANH_MICVI	reviewed	Sialidase (EC 3.2.1.18) (Neuraminidase)	nedA	Micromonospora viridifaciens	647
Q03045	AMYG_AMORE	reviewed	Glucoamylase P (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	GAMP	Amorphotheca resinae (Creosote fungus) (Hormoconis resinae)	616
Q04830	FIBER_BPK1F	reviewed	Tail spike protein (TSP) (Endo-N-acetylneuraminidase) (Endo-N) (Endo-alpha-sialidase) (EC 3.2.1.129) (EndoNF) (G102) [Cleaved into: Mature tail spike protein; Intramolecular chaperone]		Escherichia phage K1F (Bacteriophage K1F)	1064
Q08214	NTH2_YEAST	reviewed	Endonuclease III homolog 2 (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase 2) (DNA glycosylase/AP lyase 2) (Endonuclease III-like glycosylase 2) (Redoxyendonuclease 2)	NTG2 SCR2 YOL043C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	380
Q0MQR4	Q0MQR4_HUMAN	unreviewed	poly(ADP-ribose) glycohydrolase (EC 3.2.1.143)	PARG	Homo sapiens (Human)	976
Q0PC20	MQMTN_CAMJE	reviewed	Aminodeoxyfutalosine nucleosidase (AFL nucleosidase) (Aminofutalosine nucleosidase) (EC 3.2.2.30) (5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase) (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (6-amino-6-deoxyfutalosine N-ribosylhydrolase)	pfs Cj0117	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	229
Q0PRN1	Q0PRN1_RUMCH	unreviewed	Galactosylceramidase (EC 3.2.1.4) (EC 3.2.1.46)	gal59A Ccel_1238	Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum)	1122
Q0SPG7	Q0SPG7_9CAUD	unreviewed	lysozyme (EC 3.2.1.17)	CPR_C0050	Clostridium phage phiSM101	342
Q0TR53	OGA_CLOP1	reviewed	O-GlcNAcase NagJ (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (GH84C) (Hexosaminidase B) (N-acetyl-beta-D-glucosaminidase)	nagJ CPF_1442	Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A)	1001
Q11174	CHIT_CAEEL	reviewed	Probable endochitinase (EC 3.2.1.14)	cht-1 C04F6.3	Caenorhabditis elegans	617
Q12794	HYAL1_HUMAN	reviewed	Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1)	HYAL1 LUCA1	Homo sapiens (Human)	435
Q13569	TDG_HUMAN	reviewed	G/T mismatch-specific thymine DNA glycosylase (EC 3.2.2.29) (Thymine-DNA glycosylase) (hTDG)	TDG	Homo sapiens (Human)	410
Q1K5M0	Q1K5M0_NEUCR	unreviewed	Cellulase (EC 3.2.1.4)	gh45-1 NCU05121	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	293
Q21HC5	Q21HC5_SACD2	unreviewed	B-agarase (EC 3.2.1.81)	aga50B Sde_2644	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	793
Q24451	MAN2_DROME	reviewed	Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Golgi alpha-mannosidase IIa) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	alpha-Man-IIa GmII CG18802	Drosophila melanogaster (Fruit fly)	1108
Q25091	Q25091_HIRME	unreviewed	lysozyme (EC 3.2.1.17)		Hirudo medicinalis (Medicinal leech)	136
Q29451	MA2B1_BOVIN	reviewed	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	MAN2B1 MANB	Bos taurus (Bovine)	999
Q2CEE3	OGA_OCEGH	reviewed	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase)	OG2516_04129	Oceanicola granulosus (strain ATCC BAA-861 / DSM 15982 / KCTC 12143 / HTCC2516)	447
Q2UCU3	BGALA_ASPOR	reviewed	Beta-galactosidase A (EC 3.2.1.23) (Acidic beta-galactosidase) (Ao-beta-gal) (Lactase A)	lacA AO090012000445	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	1005
Q2VC81	Q2VC81_RHIOR	unreviewed	glucan 1,4-alpha-glucosidase (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	amyA	Rhizopus oryzae (Mucormycosis agent) (Rhizopus arrhizus var. delemar)	604
Q2Z1W1	Q2Z1W1_PHACH	unreviewed	Glucan 1,3-beta-glucosidase (EC 3.2.1.58)	lam55A	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	778
Q45071	XYND_BACSU	reviewed	Arabinoxylan arabinofuranohydrolase (AXH) (EC 3.2.1.55) (AXH-m2,3) (AXH-m23) (Alpha-L-arabinofuranosidase) (AF)	xynD BSU18160	Bacillus subtilis (strain 168)	513
Q47NH7	Q47NH7_THEFY	unreviewed	Cellulose 1,4-beta-cellobiosidase (EC 3.2.1.91)	Tfu_1959	Thermobifida fusca (strain YX)	984
Q47SA9	Q47SA9_THEFY	unreviewed	Glucanase (EC 3.2.1.-)	Tfu_0620	Thermobifida fusca (strain YX)	596
Q4WEQ6	Q4WEQ6_ASPFU	unreviewed	Class III chitinase, putative (EC 3.2.1.14)	AFUA_5G03850	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	319
Q4WL81	NADA_ASPFU	reviewed	Conidial surface nicotinamide adenine dinucleotide glycohydrolase nadA (NADase) (NAD(+) hydrolase nadA) (EC 3.2.2.5) (NADP(+) hydrolase nadA) (EC 3.2.2.-)	nadA AFUA_6G14470	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	234
Q4WQS0	SIA_ASPFU	reviewed	Exo-alpha-sialidase (EC 3.2.1.18) (Alpha-neuraminidase) (N-acylneuraminate glycohydrolase)	AFUA_4G13800	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	406
Q4WX16	Q4WX16_ASPFU	unreviewed	alpha-galactosidase (EC 3.2.1.22)	AFUA_3G07890	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	318
Q50KB2	Q50KB2_PHACH	unreviewed	Galactan 1,3-beta-galactosidase (EC 3.2.1.145)		Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	448
Q54443	DEXT_STRMU	reviewed	Dextranase (EC 3.2.1.11) (Alpha-1,6-glucan-6-glucanohydrolase)	dexA SMU_2042	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	850
Q54468	CHB_SERMA	reviewed	Chitobiase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	chb	Serratia marcescens	885
Q54727	NANB_STRPN	reviewed	Sialidase B (EC 3.2.1.18) (Neuraminidase B)	nanB SP_1687	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	697
Q56307	BGAL_THEMA	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ TM_1193	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	1084
Q56F26	EBDG_AMYOR	reviewed	Exo-beta-D-glucosaminidase (GlcNase) (EC 3.2.1.165) (Exochitinase)	csxA	Amycolatopsis orientalis (Nocardia orientalis)	1032
Q57ZL6	Q57ZL6_TRYB2	unreviewed	Inosine-adenosine-guanosine-nucleoside hydrolase (EC 3.2.2.1)	Tb03.27C5.420 Tb927.3.2960	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	327
Q58134	OGG1_METJA	reviewed	8-oxoguanine DNA glycosylase/AP lyase [Includes: 8-oxoguanine DNA glycosylase (8-oxoG DNA glycosylase) (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]	ogg MJ0724	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	207
Q59232	Q59232_BACSP	unreviewed	cellulase (EC 3.2.1.4)		Bacillus sp	389
Q5G2D4	Q5G2D4_9PEZI	unreviewed	Glucanase (EC 3.2.1.-)		Thermochaetoides thermophila	476
Q5L7T7	Q5L7T7_BACFN	unreviewed	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	agaA_1 BF9343_4081 NCTC9343_01464	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / NCTC 9343 / Onslow)	496
Q5L9G5	Q5L9G5_BACFN	unreviewed	Chitobiase (EC 3.2.1.169)	nagJ BF9343_3481 NCTC9343_00803	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / NCTC 9343 / Onslow)	440
Q5PSP8	Q5PSP8_BACIU	unreviewed	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)		Bacillus subtilis	362
Q5SJ65	UDGB_THET8	reviewed	Type-5 uracil-DNA glycosylase (EC 3.2.2.-) (TTUDGB) (Uracil/hypoxanthine/xanthine DNA glycosylase)	udgb TTHA1149	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	219
Q5SRI9	MANEA_HUMAN	reviewed	Glycoprotein endo-alpha-1,2-mannosidase (Endo-alpha mannosidase) (Endomannosidase) (hEndo) (EC 3.2.1.130) (Mandaselin)	MANEA	Homo sapiens (Human)	462
Q5UPT2	UNG_MIMIV	reviewed	Probable uracil-DNA glycosylase (UDG) (EC 3.2.2.-)	UNG MIMI_L249	Acanthamoeba polyphaga mimivirus (APMV)	370
Q5UQ00	FPG_MIMIV	reviewed	Probable formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase) (AP lyase) (EC 4.2.99.18)	MIMI_L315	Acanthamoeba polyphaga mimivirus (APMV)	287
Q5YEX6	Q5YEX6_9BACI	unreviewed	Beta-mannanase (EC 3.2.1.78) (Endo-1,4-beta-mannosidase)	manA	Bacillus sp. N16-5	493
Q60032	Q60032_THEMT	unreviewed	Endo-1,4-beta-glucanase (EC 3.2.1.4)	celA	Thermotoga maritima	257
Q60053	NEPU1_THEVU	reviewed	Neopullulanase 1 (EC 3.2.1.135) (Alpha-amylase I) (TVA I)	tvaI	Thermoactinomyces vulgaris	666
Q65CX5	GANB_BACLD	reviewed	Endo-beta-1,4-galactanase (Galactanase) (EC 3.2.1.-) (Arabinogalactan endo-beta-1,4-galactanase) (EC 3.2.1.89) (BLGAL)	ganB galA yvfO BLi04276 BL00263	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	424
Q65JI7	Q65JI7_BACLD	unreviewed	cellulase (EC 3.2.1.4)	celC BL01230	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	560
Q6FSK0	Q6FSK0_CANGA	unreviewed	Glycogen debranching enzyme (EC 2.4.1.25) (EC 3.2.1.33) (Glycogen debrancher)	GDB1 CAGL0G09977g	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	1528
Q6IDD9	SARM1_DROME	reviewed	NAD(+) hydrolase sarm1 (NADase sarm1) (EC 3.2.2.6) (Sterile alpha and TIR motif-containing protein 1) (Tir-1 homolog)	Sarm Ect4 CG43119	Drosophila melanogaster (Fruit fly)	1360
Q6NSJ0	MYORG_HUMAN	reviewed	Myogenesis-regulating glycosidase (EC 3.2.1.-) (Uncharacterized family 31 glucosidase KIAA1161)	MYORG KIAA1161	Homo sapiens (Human)	714
Q6ST21	Q6ST21_STRGN	unreviewed	N-acetyl-beta-D-glucosaminidase (EC 3.2.1.52)		Streptococcus gordonii	627
Q6SZW1	SARM1_HUMAN	reviewed	NAD(+) hydrolase SARM1 (NADase SARM1) (hSARM1) (EC 3.2.2.6) (NADP(+) hydrolase SARM1) (EC 3.2.2.-) (Sterile alpha and Armadillo repeat protein) (Sterile alpha and TIR motif-containing protein 1) (Sterile alpha motif domain-containing protein 2) (MyD88-5) (SAM domain-containing protein 2) (Tir-1 homolog) (HsTIR)	SARM1 KIAA0524 SAMD2 SARM	Homo sapiens (Human)	724
Q6UB36	Q6UB36_9FIRM	unreviewed	Cellulose 1,4-beta-cellobiosidase (EC 3.2.1.91) (Cellulosomal family-48 processive glycoside hydrolase)	Bccel_0895	Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933	752
Q70DK5	XG74_ACETH	reviewed	Xyloglucanase Xgh74A (EC 3.2.1.-)	xghA	Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum)	842
Q70SQ1	Q70SQ1_NPVAC	unreviewed	Ac-ChiA (Chitinase (EC 3.2.1.14))	ChiA Ac-ChiA chitinase ACNVgp127	Autographa californica nuclear polyhedrosis virus (AcMNPV)	551
Q75I93	BGL07_ORYSJ	reviewed	Beta-glucosidase 7 (Os3bglu7) (EC 3.2.1.21)	BGLU7 BGLU1 Os03g0703000 LOC_Os03g49600 OSJNBa0004L11.16	Oryza sativa subsp. japonica (Rice)	504
Q79G13	Q79G13_MYCTU	unreviewed	Glucanase (EC 3.2.1.-)	celA1 cel6 celA Rv0062	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	380
Q7LYT7	Q7LYT7_PYRWO	unreviewed	Alpha amylase (EC 3.2.1.1)	amyA	Pyrococcus woesei	460
Q7SIG5	GUN6_HUMIN	reviewed	Endoglucanase-6B (EC 3.2.1.4) (Cellulase 6B) (Endo-1,4-beta-glucanase 6B)	cel6B	Humicola insolens (Soft-rot fungus)	348
Q7XA67	MTN2_ARATH	reviewed	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase 2) (AtMTAN2) (MTA nucleosidase 2) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	MTN2 MTAN2 At4g34840 T11I11.80	Arabidopsis thaliana (Mouse-ear cress)	254
Q82L26	Q82L26_STRAW	unreviewed	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	agaA2 SAVERM_2186	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	658
Q82P90	IABF_STRAW	reviewed	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase (EC 3.2.1.55)	Araf43A abfA SAVERM_1043	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	481
Q840C0	Q840C0_CELJA	unreviewed	mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)	man5C	Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa)	830
Q873Y0	CHIA1_ASPFM	reviewed	Endochitinase A1 (EC 3.2.1.14) (Chitinase A1)	chiA1 chi1	Aspergillus fumigatus (Neosartorya fumigata)	825
Q88JL2	Q88JL2_PSEPK	unreviewed	Glucanase (EC 3.2.1.-)	bcsZ PP_2637	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	370
Q89ZI2	OGA_BACTN	reviewed	O-GlcNAcase BT_4395 (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Hexosaminidase B) (N-acetyl-beta-glucosaminidase)	BT_4395	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	737
Q8A051	Q8A051_BACTN	unreviewed	Pectate lyase L	BT_4170	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	535
Q8A066	Q8A066_BACTN	unreviewed	Pectate lyase	BT_4155	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	448
Q8A1G3	SUSG_BACTN	reviewed	Alpha-amylase SusG (EC 3.2.1.1) (Starch-utilization system protein G)	susG BT_3698	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	692
Q8A915	Q8A915_BACTN	unreviewed	Pectin lyase fold/virulence factor	BT_1002	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	619
Q8BHN3	GANAB_MOUSE	reviewed	Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	Ganab G2an Kiaa0088	Mus musculus (Mouse)	944
Q8DP07	Q8DP07_STRR6	unreviewed	1,4-beta-N-acetylmuramidase (EC 3.2.1.17)	lytC spr1431	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	501
Q8DR60	GH101_STRR6	reviewed	Endo-alpha-N-acetylgalactosaminidase (EC 3.2.1.97) (SpGH101)	spr0328	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	1767
